image_id,source_id,template_family,label,edit_type,amount_changed,date_changed,transaction_id_changed,width,height,file_format,jpeg_quality,filename,relative_path
tpl1_src001_none_01,tpl1_src001_none_01,1,original,none,no,no,no,400,800,PNG,95,tpl1_src001_none_01.png,raw/tpl1_src001_none_01.png
tpl1_src001_date_change_01,tpl1_src001_none_01,1,synthetic_fake,date_change,no,yes,no,400,800,PNG,95,tpl1_src001_date_change_01.png,processed/tpl1_src001_date_change_01.png
tpl1_src001_amount_change_02,tpl1_src001_none_01,1,synthetic_fake,amount_change,yes,no,no,400,800,PNG,95,tpl1_src001_amount_change_02.png,processed/tpl1_src001_amount_change_02.png
tpl1_src001_font_alter_03,tpl1_src001_none_01,1,synthetic_fake,font_alter,no,no,no,400,800,PNG,95,tpl1_src001_font_alter_03.png,processed/tpl1_src001_font_alter_03.png
tpl1_src001_transaction_id_change_04,tpl1_src001_none_01,1,synthetic_fake,transaction_id_change,no,no,yes,400,800,PNG,95,tpl1_src001_transaction_id_change_04.png,processed/tpl1_src001_transaction_id_change_04.png
tpl1_src002_none_01,tpl1_src002_none_01,1,original,none,no,no,no,400,800,PNG,95,tpl1_src002_none_01.png,raw/tpl1_src002_none_01.png
tpl1_src002_amount_change_01,tpl1_src002_none_01,1,synthetic_fake,amount_change,yes,no,no,400,800,PNG,95,tpl1_src002_amount_change_01.png,processed/tpl1_src002_amount_change_01.png
tpl1_src002_text_insert_02,tpl1_src002_none_01,1,synthetic_fake,text_insert,no,no,no,400,800,PNG,95,tpl1_src002_text_insert_02.png,processed/tpl1_src002_text_insert_02.png
tpl1_src002_font_alter_03,tpl1_src002_none_01,1,synthetic_fake,font_alter,no,no,no,400,800,PNG,95,tpl1_src002_font_alter_03.png,processed/tpl1_src002_font_alter_03.png
tpl1_src002_crop_04,tpl1_src002_none_01,1,synthetic_fake,crop,no,no,no,400,800,PNG,95,tpl1_src002_crop_04.png,processed/tpl1_src002_crop_04.png
tpl1_src003_none_01,tpl1_src003_none_01,1,original,none,no,no,no,400,800,PNG,95,tpl1_src003_none_01.png,raw/tpl1_src003_none_01.png
tpl1_src003_transaction_id_change_01,tpl1_src003_none_01,1,synthetic_fake,transaction_id_change,no,no,yes,400,800,PNG,95,tpl1_src003_transaction_id_change_01.png,processed/tpl1_src003_transaction_id_change_01.png
tpl1_src003_crop_02,tpl1_src003_none_01,1,synthetic_fake,crop,no,no,no,400,800,PNG,95,tpl1_src003_crop_02.png,processed/tpl1_src003_crop_02.png
tpl1_src003_recompress_03,tpl1_src003_none_01,1,original_transformed,recompress,no,no,no,400,800,PNG,64,tpl1_src003_recompress_03.png,processed/tpl1_src003_recompress_03.png
tpl1_src003_resize_04,tpl1_src003_none_01,1,original_transformed,resize,no,no,no,400,800,PNG,95,tpl1_src003_resize_04.png,processed/tpl1_src003_resize_04.png
tpl1_src004_none_01,tpl1_src004_none_01,1,original,none,no,no,no,400,800,PNG,95,tpl1_src004_none_01.png,raw/tpl1_src004_none_01.png
tpl1_src004_date_change_01,tpl1_src004_none_01,1,synthetic_fake,date_change,no,yes,no,400,800,PNG,95,tpl1_src004_date_change_01.png,processed/tpl1_src004_date_change_01.png
tpl1_src004_crop_02,tpl1_src004_none_01,1,synthetic_fake,crop,no,no,no,400,800,PNG,95,tpl1_src004_crop_02.png,processed/tpl1_src004_crop_02.png
tpl1_src004_amount_change_03,tpl1_src004_none_01,1,synthetic_fake,amount_change,yes,no,no,400,800,PNG,95,tpl1_src004_amount_change_03.png,processed/tpl1_src004_amount_change_03.png
tpl1_src004_text_remove_04,tpl1_src004_none_01,1,synthetic_fake,text_remove,no,no,yes,400,800,PNG,95,tpl1_src004_text_remove_04.png,processed/tpl1_src004_text_remove_04.png
tpl1_src005_none_01,tpl1_src005_none_01,1,original,none,no,no,no,400,800,PNG,95,tpl1_src005_none_01.png,raw/tpl1_src005_none_01.png
